;SiteName;Long10;Lat10;Altitude;Domain;vegetation_type;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;DaysFrost;CloudItcp;Rockiness;Sandiness;SoilDrain;SoilWaterStorage;SoilFert;Salinity
AtlMG018;Itambé do Mato Dentro, floresta semidecídua;-432.072;-194.222;578;Atlantic Forest;semideciduous_forest;21.1;11.9;64;213;29.4;10.9;18.5;1491;335;10;89;120;89;0;0;5;65;35;50;17;0
AtlMG033;Guaraciaba, floresta semidecídua;-430.203;-205.022;496;Atlantic Forest;semideciduous_forest;21.2;11.8;62;227;30;10.9;19.1;1179;225;11;84;140;86;0;0;5;55;35;53;17;0
AtlMG040;Leme do Prado, floresta semidecídua;-427.033;-170.336;900;Atlantic Forest;semideciduous_forest;21.2;12.6;70;180;29.6;11.6;18;959;209;6;94;160;141;0;0;20;55;20;41;5;0
AtlMG044;Aricanduva, floresta semidecídua;-425.294;-178.792;860;Atlantic Forest;semideciduous_forest;20.6;11.9;67;188;28.9;11.1;17.8;1137;236;12;87;135;97;0;0;5;55;35;53;17;0
AtlMG046;Rio Vermelho, floresta semidecídua;-4.296.611.111;-1.824.222.222;719;Atlantic Forest;semideciduous_forest;21;12.1;65;206;29.4;10.9;18.5;1284;281;10;88;135;95;0;0;5;65;35;50;17;0
AtlMG048;Guanhães, floresta semidecídua;-429.544;-186.939;916;Atlantic Forest;semideciduous_forest;19.6;12;65;214;28;9.4;18.6;1491;336;12;86;110;65;0;0;5;55;35;53;17;0
AtlMG050;Carmésia, Aldeia Pataxó, floresta semidecídua;-431.225;-190.478;739;Atlantic Forest;semideciduous_forest;20;12;65;214;28.3;9.7;18.6;1599;368;11;88;110;69;0;0;5;55;35;53;17;0
AtlMG054;São Gonçalo do Rio Abaixo, floresta semidecídua;-433.633;-199.019;775;Atlantic Forest;semideciduous_forest;20.5;11.6;64;212;28.6;10.4;18.2;1391;294;10;89;130;88;0;0;5;65;35;50;17;0
AtlMG059;Diogo de Vasconcelos, floresta semidecídua;-431.758;-204.486;739;Atlantic Forest;semideciduous_forest;20.8;11.6;62;226;29.3;10.5;18.8;1218;229;10;85;140;85;0;0;5;55;35;53;17;0
AtlMG060;Pinheiro Alto, floresta semidecídua;-432.856;-205.503;932;Atlantic Forest;semideciduous_forest;19.3;11.4;62;221;27.5;9.1;18.4;1329;245;13;83;120;65;1;0;5;65;35;50;17;0
